latitude,longitude,nome,tipo
38.684354,-9.149702,25 De Abril,station
39.44019,-8.194319,Abrantes,station
40.251341,-8.450223,Adémia,halt
41.23712,-8.669599,Aeroporto,station
41.775622,-8.86161,Afife,halt
41.050513,-8.651162,Aguda,halt
40.613243,-8.45321,Aguieira,halt
40.415208,-8.456837,Aguim,halt
39.793586,-8.589321,Albergaria Dos Doze,station
37.128694,-8.233018,Albufeira - Ferreiras,station
40.133866,-7.448779,Alcaide,halt
39.919286,-7.436288,Alcains,station
37.169914,-8.348671,Alcantarilha,station
40.200552,-7.517209,Alcaria,halt
38.406929,-8.095487,Alcáçovas,halt
38.702355,-9.174024,Alcântara-Mar,station
38.707411,-9.173268,Alcântara-Terra,station
40.600459,-6.88579,Aldeia,halt
41.176459,-7.377806,Alegria,halt
39.473672,-8.186848,Alferrarede,station
37.167902,-8.303227,Algoz,halt
38.69838,-9.229387,Algés,station
38.923934,-9.011412,Alhandra,station
38.651804,-9.026538,Alhos Vedros,halt
41.148592,-8.610975,Aliados,station
38.676627,-9.164275,Almada,station
37.095095,-8.023951,Almancil,halt
39.46232,-8.374042,Almourol,station
40.095139,-7.461931,Alpedrinha,halt
38.749895,-9.179795,Alto Dos Moinhos,station
41.648426,-8.739618,Alvarães,halt
39.472314,-8.044638,Alvega-Ortiga,halt
38.88988,-9.03411,Alverca,station
38.232722,-7.999985,Alvito,station
38.758424,-9.21833,Amadora Este,station
40.192338,-8.544118,Ameal,halt
38.779605,-9.159457,Ameixoeira,station
37.690014,-8.414934,Amoreiras - Odemira,station
38.660527,-9.157318,António Gedeão,station
41.216886,-8.641033,Araújo,station
41.106399,-8.007411,Aregos,station
41.684107,-8.799321,Areia - Darque,halt
41.489987,-8.508877,Arentim,station
41.72115,-8.855573,Areosa,halt
40.909237,-8.501033,Arrifana,halt
39.096845,-7.333348,Arronches,halt
41.19674,-8.630636,Arroteia,halt
39.138877,-7.382279,Assumar,halt
40.808416,-8.585402,Avanca,halt
40.643387,-8.640455,Aveiro,station
41.520141,-8.468343,Aveleda,halt
38.719019,-9.144814,Avenida,station
39.068443,-8.866375,Azambuja,station
40.639897,-8.591874,Azurva,halt
38.65958,-9.044338,Baixa Da Banheira,halt
40.67738,-7.327773,Baraçal,halt
39.526022,-7.835059,Barca Da Amieira - Envendos,station
41.536782,-8.608996,Barcelos,station
41.140528,-7.887456,Barqueiros,halt
39.461612,-8.435241,Barquinha,station
39.481953,-8.001241,Barragem De Belver,halt
38.652901,-9.079272,Barreiro,station
38.659773,-9.071578,Barreiro-A,halt
41.38981,-8.526176,Barrimau,halt
41.646264,-8.701085,Barroselas,station
41.143201,-8.608241,Batalha,halt
38.018338,-7.85839,Beja,station
38.747535,-9.117662,Bela Vista,station
40.333363,-7.336118,Belmonte - Manteigas,station
39.491993,-7.958698,Belver,station
38.696178,-9.197448,Belém,halt
39.352428,-8.135624,Bemposta,halt
40.214512,-8.456108,Bencanta,halt
40.434877,-7.268298,Benespera,halt
39.788257,-7.562218,Benquerenças,halt
38.673332,-9.166616,Bento Gonçalves,station
38.710759,-9.145797,Bica - Largo Do Calhariz,halt
38.708617,-9.146769,Bica - Rua De São Paulo,halt
40.122362,-8.764569,Bifurcação De Lares,station
38.663956,-9.190352,Boa Esperança,station
38.806846,-9.094679,Bobadela,halt
41.149774,-8.605829,Bolhão,station
37.12255,-8.15227,Boliqueime,station
37.014033,-7.921016,Bom João,halt
39.265091,-9.153332,Bombarral,station
41.237517,-8.66524,Botica,station
41.548046,-8.434464,Braga,station
38.747091,-9.1028,Braço De Prata,station
41.183883,-8.69151,Brito Capelo,station
41.235268,-8.274224,Bustelo,halt
40.58723,-8.498065,Cabanões,halt
41.22056,-8.535696,Cabeda,halt
38.762962,-9.104055,Cabo Ruivo,station
37.176378,-7.538099,Cacela,station
40.684786,-8.598172,Cacia,station
38.68755,-9.147383,Cacilhas,station
38.705979,-9.145737,Cais Do Sodré,station
39.406746,-9.140259,Caldas Da Rainha,station
41.152898,-7.82667,Caldas De Moledo,halt
41.874058,-8.834267,Caminha,station
41.150734,-8.585639,Campanhã,station
41.148749,-8.598693,Campo 24 De Agosto,station
38.741114,-9.146784,Campo Pequeno,station
38.732509,-9.16774,Campolide,station
38.731508,-9.168862,Campolide-A,station
40.491061,-7.90649,Canas-Felgueira,station
40.716364,-8.564004,Canelas,halt
41.363683,-8.437651,Caniços,station
41.585889,-8.632712,Carapeços,halt
38.687829,-9.337319,Carcavelos,station
40.305964,-7.370675,Caria,halt
38.759228,-9.192713,Carnide,station
41.158558,-8.621896,Carolina Michaelis,station
39.548587,-8.462835,Carrascal-Delongo,halt
39.005522,-8.95373,Carregado,halt
40.433297,-8.007597,Carregal Do Sal,station
41.486928,-8.56411,Carreira,halt
41.750411,-8.863361,Carreço-A,halt
41.97984,-8.702663,Carvalha-A,halt
40.635405,-8.452891,Carvalhal Da Portela,halt
40.925112,-8.626167,Carvalheira - Maceda,halt
39.57114,-8.395478,Carvalhos De Figueiredo,halt
38.49821,-8.158222,Casa Branca,station
41.160628,-8.628686,Casa Da Música,station
38.642494,-9.151785,Casa Do Povo,station
40.204772,-8.48388,Casais,halt
40.57944,-8.48791,Casal Do Álvaro,halt
38.700875,-9.417913,Cascais,station
38.989068,-8.965362,Castanheira Do Ribatejo,station
40.408046,-8.084317,Castelejo,halt
39.818032,-7.49066,Castelo Branco,station
40.064391,-7.460688,Castelo Novo,station
37.196802,-7.483854,Castro Marim,halt
41.262713,-8.617023,Castêlo Da Maia,station
40.93956,-8.537486,Cavaco,halt
39.714451,-8.545446,Caxarias,station
38.698749,-9.274392,Caxias,station
41.252861,-8.227167,Caíde,station
40.665228,-7.382564,Celorico Da Beira,station
39.602821,-9.073456,Centro,halt
40.51158,-7.047398,Cerdeira,station
39.275724,-7.807933,Chança,halt
38.754825,-9.11387,Chelas,station
39.654364,-8.493853,Chão De Maçãs - Fátima,station
38.75152,-9.15904,Cidade Universitária,station
40.224728,-8.440477,Coimbra-B,station
41.12437,-8.634084,Coimbrões,halt
38.584649,-9.051569,Coina,station
38.753403,-9.189273,Colégio Militar/Luz,station
41.165081,-8.598895,Combatentes,station
37.144376,-7.605617,Conceição,halt
41.168829,-8.574718,Contumil,station
38.637121,-9.15099,Corroios,station
40.940648,-8.630246,Cortegaça,halt
41.48172,-8.528764,Couto De Cambeses,halt
40.868136,-8.494134,Couto De Cucujães,halt
38.6677,-9.164807,Cova Da Piedade,station
41.421506,-8.300847,Covas,halt
41.152371,-7.688072,Covelinhas,station
40.277537,-7.496063,Covilhã,station
39.269442,-7.63528,Crato,halt
38.699796,-9.252204,Cruz Quebrada,halt
38.163166,-7.894851,Cuba,station
41.376474,-8.341908,Cuca,halt
40.424547,-8.4561,Curia,halt
39.547933,-8.429793,Curvaceiras,halt
41.222307,-8.638997,Custió,station
41.180651,-8.681253,Câmara De Matosinhos,station
41.129662,-8.606172,Câmara Gaia,station
41.200692,-8.649748,Cândido Dos Reis,station
41.17151,-8.355427,Cête,station
39.344501,-9.172402,Dagorda - Peniche,halt
41.68023,-8.781954,Darque,station
39.042558,-9.184618,Dois Portos,station
41.119528,-8.606228,Dom João Ii,station
40.13252,-7.47346,Donas,halt
41.639066,-8.667017,Durrães,halt
40.609442,-8.531701,Eirol,station
40.63114,-8.568389,Eixo,station
38.895542,-7.142277,Elvas,station
38.74457,-9.148592,Entrecampos,station
39.46165,-8.47375,Entroncamento,station
41.217124,-8.554151,Ermesinde,station
41.124275,-7.950901,Ermida,station
38.002774,-8.413982,Ermidas-Sado,station
40.919628,-8.516414,Escapães,halt
40.641503,-8.61798,Esgueira,halt
41.379458,-8.521563,Esmeriz,halt
40.96277,-8.635499,Esmoriz,station
39.050766,-8.902518,Espadanal Da Azambuja,halt
40.209065,-8.470772,Espadaneira,halt
41.006287,-8.644395,Espinho,halt
41.002171,-8.643531,Espinho - Vouga,station
41.909336,-8.792933,Esqueiro,halt
40.751148,-8.575476,Estarreja,station
41.696797,-8.830268,Estação,halt
